B_Rank,C_Rank,DT_Rank,Perplexity
Full,Full,Full,25.1302
16,16,48,25.1302
16,16,36,29.8488
16,16,24,34.4305
16,16,12,47.3854
16,12,48,36.3714
16,12,36,44.1688
16,12,24,52.5394
16,12,12,72.1591
16,8,48,55.8393
16,8,36,70.0107
16,8,24,83.1189
16,8,12,112.1050
16,4,48,108.0204
16,4,36,138.0144
16,4,24,160.2274
16,4,12,206.7070
12,16,48,32.7456
12,16,36,40.3666
12,16,24,46.5752
12,16,12,63.2692
12,12,48,57.1475
12,12,36,71.9712
12,12,24,87.8153
12,12,12,120.0420
12,8,48,95.3290
12,8,36,119.4794
12,8,24,143.9633
12,8,12,191.4767
12,4,48,170.0425
12,4,36,218.6832
12,4,24,256.1088
12,4,12,313.4519
8,16,48,39.9151
8,16,36,48.8624
8,16,24,57.4347
8,16,12,77.3725
8,12,48,76.1692
8,12,36,96.0419
8,12,24,117.0307
8,12,12,159.0926
8,8,48,114.3562
8,8,36,144.0709
8,8,24,174.8924
8,8,12,230.6240
8,4,48,195.3109
8,4,36,251.8510
8,4,24,293.8034
8,4,12,354.1865
4,16,48,77.2464
4,16,36,88.9356
4,16,24,100.6151
4,16,12,124.3071
4,12,48,192.1099
4,12,36,211.1384
4,12,24,234.1532
4,12,12,272.0449
4,8,48,303.0845
4,8,36,309.2693
4,8,24,336.6679
4,8,12,374.4281
4,4,48,433.4502
4,4,36,445.2790
4,4,24,477.0642
4,4,12,508.3049
