Name,B_Rank,C_Rank,DT_Rank,Perplexity,Time(s),Memory(GB)
Baseline,Full,Full,Full,25.1302,21.05,1.100
B12_C12_DT48,12,12,48,57.1475,31.92,1.351
B12_C12_DT36,12,12,36,71.9712,31.87,1.351
B12_C12_DT24,12,12,24,87.8153,31.88,1.351
B12_C8_DT48,12,8,48,95.3290,31.89,1.351
B12_C8_DT36,12,8,36,119.4794,32.09,1.351
B12_C8_DT24,12,8,24,143.9633,32.25,1.351
B12_C4_DT48,12,4,48,170.0425,32.26,1.351
B12_C4_DT36,12,4,36,218.6832,32.33,1.351
B12_C4_DT24,12,4,24,256.1088,32.30,1.351
B8_C12_DT48,8,12,48,76.1692,32.34,1.351
B8_C12_DT36,8,12,36,96.0419,32.39,1.351
B8_C12_DT24,8,12,24,117.0307,32.17,1.351
B8_C8_DT48,8,8,48,114.3562,32.12,1.351
B8_C8_DT36,8,8,36,144.0709,32.22,1.351
B8_C8_DT24,8,8,24,174.8924,32.05,1.351
B8_C4_DT48,8,4,48,195.3109,32.05,1.351
B8_C4_DT36,8,4,36,251.8510,32.10,1.351
B8_C4_DT24,8,4,24,293.8034,32.08,1.351
B4_C12_DT48,4,12,48,192.1099,32.13,1.351
B4_C12_DT36,4,12,36,211.1384,32.40,1.351
B4_C12_DT24,4,12,24,234.1532,32.19,1.351
B4_C8_DT48,4,8,48,303.0845,32.06,1.351
B4_C8_DT36,4,8,36,309.2693,32.41,1.351
B4_C8_DT24,4,8,24,336.6679,32.34,1.351
B4_C4_DT48,4,4,48,433.4502,32.97,1.351
B4_C4_DT36,4,4,36,445.2790,32.12,1.351
B4_C4_DT24,4,4,24,477.0642,32.15,1.351
